,,,,score,score,score
,,,,mean,std,p
size,model,method,window,,,
200,TokenCNN,Baseline,2,0.8968668311584178,0.018038917536093976,
200,TokenCNN,K-Means,2,0.8880073515572239,0.01902876464435054,0.22066801726287227
200,TokenCNN,GMM,2,0.9021153511466558,0.017402968367126233,0.3611244263433253
200,CharCNN,Baseline,2,0.8017579717037222,0.01318054288728574,
200,CharCNN,K-Means,2,0.8105426875444793,0.023603069359062357,0.24724734356789493
200,CharCNN,GMM,2,0.8170805977331568,0.019150822574077783,0.03208141051162911
800,TokenCNN,Baseline,2,0.9115181593387405,0.017852817199977878,
800,TokenCNN,K-Means,2,0.9184761422877298,0.011951943570634891,0.1801681740431318
800,TokenCNN,GMM,2,0.9229975272030553,0.012256764788224305,0.04020195480579145
800,CharCNN,Baseline,2,0.8720627137422314,0.026918663812822468,
800,CharCNN,K-Means,2,0.8749395620393603,0.014133000587575618,0.6826224818930395
800,CharCNN,GMM,2,0.8844186922158,0.014277875092463687,0.17598679118296545
1600,TokenCNN,Baseline,2,0.9301115436052962,0.011440783298402663,
1600,TokenCNN,K-Means,2,0.9331701416268172,0.01038789137866312,0.5262762104468093
1600,TokenCNN,GMM,2,0.9422348716395856,0.009344424604980708,0.04073910763444206
1600,CharCNN,Baseline,2,0.9273799394561344,0.017811779482548872,
1600,CharCNN,K-Means,2,0.9249493323986673,0.010251630643782868,0.7467545890853571
1600,CharCNN,GMM,2,0.9320390330450943,0.013842422143160175,0.4464445606654911
2400,TokenCNN,Baseline,2,0.9326872409168013,0.009444409901655387,
2400,TokenCNN,K-Means,2,0.9360896282378125,0.009195987885690657,0.38742695197356547
2400,TokenCNN,GMM,2,0.9413905671262448,0.010182374723142621,0.019838294007286962
2400,CharCNN,Baseline,2,0.9472230746069028,0.012553891142090285,
2400,CharCNN,K-Means,2,0.9350478741777339,0.018131900443347285,0.05455189967669985
2400,CharCNN,GMM,2,0.947986533065519,0.013730409924271955,0.896192128329876
